an,materie,materie_label,sesiune,sesiune_label,tip,fisier,cale,marime_bytes,sha256
2023,romana,Limba romana,rezerva-august,Rezerva august,barem,2023-august-rezerva-romana-real-tehn-barem.pdf,bac/2023/romana/rezerva-august/2023-august-rezerva-romana-real-tehn-barem.pdf,185525,4c456f1d115c98c983dcf3dcc17d704500634c710d174a5389ce3fd1d5a698b0
2023,romana,Limba romana,rezerva-august,Rezerva august,subiect,2023-august-rezerva-romana-real-tehn-subiect.pdf,bac/2023/romana/rezerva-august/2023-august-rezerva-romana-real-tehn-subiect.pdf,208190,8020d78d3c3d079ec63bdf9da89d27b737259d3050f874e869f91a656b5e0301
2023,romana,Limba romana,rezerva-august,Rezerva august,barem,2023-august-rezerva-romana-uman-ped-barem.pdf,bac/2023/romana/rezerva-august/2023-august-rezerva-romana-uman-ped-barem.pdf,183924,58d9f477f99079651ed1d3147c871544eaadd735c2335627f36d5b2dc11ee0ca
2023,romana,Limba romana,rezerva-august,Rezerva august,subiect,2023-august-rezerva-romana-uman-ped-subiect.pdf,bac/2023/romana/rezerva-august/2023-august-rezerva-romana-uman-ped-subiect.pdf,207390,5d09a8514f899cb3f404e883e14033cd5d5f1e461b31e20df066f608a2c876fe
2023,romana,Limba romana,sesiune-august,Sesiunea august,barem,2023-august-romana-real-tehn-barem.pdf,bac/2023/romana/sesiune-august/2023-august-romana-real-tehn-barem.pdf,185011,ba6d5070bb49234a691d68b999427792d2103f14f7e9599bf36b010cadf3f12a
2023,romana,Limba romana,sesiune-august,Sesiunea august,subiect,2023-august-romana-real-tehn-subiect.pdf,bac/2023/romana/sesiune-august/2023-august-romana-real-tehn-subiect.pdf,189838,d924fd347933d60aa09b7a0ceaafddae8ac2371beb8321d5e5a1e62b9ed26769
2023,romana,Limba romana,sesiune-august,Sesiunea august,barem,2023-august-romana-uman-ped-barem.pdf,bac/2023/romana/sesiune-august/2023-august-romana-uman-ped-barem.pdf,183951,8a9243931b83e1526984d5049c901838253b55d64e49b84947192467299c329a
2023,romana,Limba romana,sesiune-august,Sesiunea august,subiect,2023-august-romana-uman-ped-subiect.pdf,bac/2023/romana/sesiune-august/2023-august-romana-uman-ped-subiect.pdf,189063,6e5aaa5b19413552946b53b9cf6aca036f62408971065ca6c922f0b5c363027e
2023,romana,Limba romana,sesiune-iunie,Sesiunea iunie,barem,2023-iunie-romana-real-tehn-barem.pdf,bac/2023/romana/sesiune-iunie/2023-iunie-romana-real-tehn-barem.pdf,184655,c7e655bbf0ffb511b148fdee6e63dfd66f06cf13092bc8aaf59bf83c02a41d86
2023,romana,Limba romana,sesiune-iunie,Sesiunea iunie,subiect,2023-iunie-romana-real-tehn-subiect.pdf,bac/2023/romana/sesiune-iunie/2023-iunie-romana-real-tehn-subiect.pdf,186182,eea209038421b61ea57f416f382f68657b9484c79e35ac66e62c40315985831e
